,bidder_type,highest_bid,second_highest_bid
71,snipers,2496.7182089642397,2203.0873414544117
72,snipers,2606.229071730668,2216.5887488352496
73,snipers,3645.3532107754518,3261.74893321328
74,early_bidders,2231.584338708459,2231.584338708459
75,snipers,3059.750731657947,2690.703589535164
76,snipers,2089.2510383378535,1919.5049346794494
77,snipers,2041.4206137554872,1966.5774611159075
78,early_bidders,2317.193167478142,2006.0510610674492
79,snipers,2549.075161714283,1814.8275170027248
80,snipers,2433.825011845035,2210.2029284493024
81,snipers,3891.701502200688,3604.941408342541
82,snipers,2862.656040676396,2066.679086590158
83,early_bidders,2143.851456033409,1901.371009671979
84,snipers,2613.07640499249,2401.4635034279663
85,snipers,2182.7852645788694,2150.8708320417536
86,snipers,3480.296747857921,1984.8406100998086
87,early_bidders,2533.939606173577,2526.8913074388647
88,snipers,2521.450981241829,2427.0847860644617
89,snipers,2504.72595829033,2456.7870241912065
90,snipers,2528.6014327012313,2364.965973117287
91,snipers,2678.237769488573,1963.1991316974354
92,snipers,2985.720733897496,2906.906981809094
93,snipers,2765.206211542283,2225.347763208358
94,early_bidders,2022.9645167613417,1910.3034575971305
95,snipers,3003.307379572911,2827.4945032029564
96,early_bidders,1873.8287898123326,1605.373425427552
97,snipers,2687.9961100621126,2555.037899384204
98,snipers,2880.3734451676983,2199.770239007855
99,snipers,2123.600814137083,1943.1761954179892
100,early_bidders,2929.703695181535,2207.742730955648
101,early_bidders,2847.614543239415,2144.220353869535
102,snipers,3357.061982263632,2886.187452425556
103,snipers,2603.6110889832185,2304.4316802648054
104,snipers,2792.658761101297,1923.4493719733887
105,snipers,2681.7642671310327,2082.6697694279883
106,snipers,2354.207859358654,2336.9749658418978
107,snipers,2105.0382421263266,1796.9590025331297
108,snipers,2740.6341526971146,2177.0987002470433
109,snipers,3472.398272662308,2897.8703013380136
110,snipers,1982.0068288087589,1900.3275152367307
111,early_bidders,2516.0884284337476,2142.8779070203063
112,snipers,2497.843549423599,2154.904332010873
113,snipers,3183.2725830197146,3022.5235734654357
114,snipers,3210.4790584460247,2372.6808079106745
115,snipers,3106.5241655170757,3007.7935838747303
116,snipers,3103.7533279206054,2454.01170875875
117,snipers,2480.1674732683095,2263.8172801487603
118,snipers,2778.4698927112386,2687.3736841783975
119,snipers,2512.798723037566,2284.154111119766
120,snipers,2073.32986760755,1816.9267596936857
121,snipers,2137.323104867162,1864.1055463808887
122,snipers,2656.510214919212,2496.2821758284927
123,snipers,2785.7765401072297,2251.2990385348944
124,early_bidders,2249.7299914001383,2083.1676871922887
125,snipers,2863.8692020750286,2292.1979267403103
126,early_bidders,2071.3631926239423,2030.4182030866627
127,snipers,2978.108984743457,2311.559349970335
128,snipers,2667.923265213491,1864.4709004923252
129,early_bidders,3163.7445603781343,3163.7445603781343
130,early_bidders,2078.049435705548,1958.3869159900273
131,snipers,2759.8785491625276,2667.9882007371243
132,snipers,2499.435387716808,2276.16047677673
133,snipers,1914.3854378317394,1894.731639985137
134,snipers,2350.6541537091425,2323.52390284626
135,snipers,3097.4864086834295,2866.2419289908644
136,snipers,3575.7350579550584,2620.3594709503886
137,snipers,3170.2481665176815,2221.3329317607604
138,snipers,2437.1213828133755,2236.712172515609
139,snipers,2833.265343241761,2275.6868402705363
140,snipers,2451.546966578273,2446.4775214582282
141,snipers,2473.0890839175786,2316.5300252120264
142,snipers,3134.8378764146228,2726.280460765958
143,snipers,3181.3210039387777,3011.293969753639
144,snipers,2734.2912680815384,2547.4454255926003
145,early_bidders,2275.051607303224,2251.7638686684822
146,snipers,2489.841077200381,2171.613887479348
147,early_bidders,2272.1156153607185,2100.262078914738
148,snipers,2650.154643195635,2197.3254449364485
149,snipers,2370.182731146926,2057.2484026234406
150,snipers,3256.3860481345105,2253.2749534405625
151,snipers,2975.4110056081827,2904.015346565795
152,snipers,2670.796377326034,2427.535970318527
153,snipers,2797.3812720731357,2719.691701848792
154,snipers,2675.752725580007,2629.9784855044963
155,early_bidders,1796.3327263679303,1790.3467544495186
156,snipers,2351.9037889256747,2246.8211798072593
157,snipers,2414.1811539740966,1776.5916646773053
158,early_bidders,1930.1862470959509,1712.4857827495891
159,snipers,2746.02779382406,2292.8186848563064
160,snipers,2435.6315045939928,2106.9840632361547
